portfolio_id,desk_id,office_id,pf_category,start_date,sold,country_code,euribor_rate,currency,libor_rate,bought,creation_date,indicator_code,sell_date,type,hedge_value,status,return
PF00013457,,OFF00001002,C,20151119,14850000,M,-0.00119,CHF,-0.667095238,14849373,20151119,TRUE,20151127,E,FALSE,TRUE,0.00228
PF00013481,,OFF00001002,C,20151126,15400000,M,-0.00119,CHF,-0.667095238,15377178.06,20151126,TRUE,20160303,E,FALSE,TRUE,0.0066
PF00013459,,OFF00001002,C,20151120,18876000,M,-0.00119,CHF,-0.667095238,18875302.64,20151120,TRUE,20151127,E,FALSE,TRUE,0.00228
PF00013460,,OFF00001002,C,20151120,23111000,M,-0.00119,CHF,-0.667095238,23110146.18,20151120,TRUE,20151127,E,FALSE,TRUE,0.00228
PF00013473,,OFF00001002,C,20151125,26158000,M,-0.00119,CHF,-0.667095238,26157033.61,20151125,TRUE,20151202,E,FALSE,TRUE,0.00228
PF00013416,,OFF00001002,C,20151106,26587000,M,-0.00119,CHF,-0.667095238,26580589.58,20151106,TRUE,20151207,E,FALSE,TRUE,0.00336
PF00013415,,OFF00001002,C,20151106,26862000,M,-0.00119,CHF,-0.667095238,26855523.27,20151106,TRUE,20151207,E,FALSE,TRUE,0.00336
PF00013442,,OFF00001002,C,20151116,32571000,M,-0.00119,CHF,-0.667095238,32563182.96,20151116,TRUE,20151218,E,FALSE,TRUE,0.00324
PF00013403,,OFF00001002,C,20151104,36784000,M,-0.00119,CHF,-0.667095238,36782446.9,20151104,TRUE,20151112,E,FALSE,TRUE,0.00228
PF00013409,,OFF00001002,C,20151105,38522000,M,-0.00119,CHF,-0.667095238,38512754.72,20151105,TRUE,20151207,E,FALSE,TRUE,0.00324
PF00013396,,OFF00001002,C,20151102,38544000,M,-0.00119,CHF,-0.667095238,38533882.2,20151102,TRUE,20151207,E,FALSE,TRUE,0.00324
PF00013434,,OFF00001002,C,20151112,41338000,M,-0.00119,CHF,-0.667095238,41336472.79,20151112,TRUE,20151119,E,FALSE,TRUE,0.00228
PF00013456,,OFF00001002,C,20151119,45375000,M,-0.00119,CHF,-0.667095238,45373084.17,20151119,TRUE,20151127,E,FALSE,TRUE,0.00228
PF00013461,,OFF00001002,C,20151123,47443000,M,-0.00119,CHF,-0.667095238,47441247.24,20151120,TRUE,20151127,E,FALSE,TRUE,0.00228
PF00013483,,OFF00001002,C,20151130,5.50E+07,M,-0.00119,CHF,-0.667095238,54921013.89,20151127,TRUE,20160303,E,FALSE,TRUE,0.0066
PF00013433,,OFF00001002,C,20151112,58586000,M,-0.00119,CHF,-0.667095238,58583835.57,20151112,TRUE,20151119,E,FALSE,TRUE,0.00228
PF00013439,,OFF00001002,C,20151113,60302000,M,-0.00119,CHF,-0.667095238,60299772.18,20151113,TRUE,20151120,E,FALSE,TRUE,0.00228
PF00013414,,OFF00001002,C,20151106,6.60E+07,M,-0.00119,CHF,-0.667095238,65984655,20151106,TRUE,20151207,E,FALSE,TRUE,0.00324
PF00013458,,OFF00001002,C,20151123,7.70E+07,M,-0.00119,CHF,-0.667095238,76997968.06,20151120,TRUE,20151125,E,FALSE,TRUE,0.00228
PF00013394,,OFF00001002,C,20151102,82500000,M,-0.00119,CHF,-0.667095238,82481437.5,20151102,TRUE,20151202,E,FALSE,TRUE,0.00324
PF00013411,,OFF00001002,C,20151106,84700000,M,-0.00119,CHF,-0.667095238,84696870.81,20151106,TRUE,20151113,E,FALSE,TRUE,0.00228
PF00013482,,OFF00001002,C,20151127,90079000,M,-0.00119,CHF,-0.667095238,90075672.08,20151127,TRUE,20151204,E,FALSE,TRUE,0.00228
PF00013463,,OFF00001002,C,20151123,98967000,M,-0.00119,CHF,-0.667095238,98944732.43,20151123,TRUE,20151223,E,FALSE,TRUE,0.00324
PF00013428,,OFF00001002,C,20151110,104665000,M,-0.00119,CHF,-0.667095238,104641450.4,20151110,TRUE,20151210,E,FALSE,TRUE,0.00324
PF00013429,,OFF00001002,C,20151110,106073000,M,-0.00119,CHF,-0.667095238,106049133.6,20151110,TRUE,20151210,E,FALSE,TRUE,0.00324
PF00013395,,OFF00001002,C,20151102,1.10E+08,M,-0.00119,CHF,-0.667095238,109975250,20151102,TRUE,20151202,E,FALSE,TRUE,0.00324
PF00013466,,OFF00001002,C,20151124,129459000,M,-0.00119,CHF,-0.667095238,129454217.2,20151124,TRUE,20151201,E,FALSE,TRUE,0.00228
PF00013447,,OFF00001002,C,20151117,133177000,M,-0.00119,CHF,-0.667095238,133172079.8,20151117,TRUE,20151124,E,FALSE,TRUE,0.00228
PF00013413,,OFF00001002,C,20151106,1.54E+08,M,-0.00119,CHF,-0.667095238,153948666.7,20151106,TRUE,20151216,E,FALSE,TRUE,0.0036
PF00013440,,OFF00001002,C,20151113,164450000,M,-0.00119,CHF,-0.667095238,164411765.4,20151113,TRUE,20151214,E,FALSE,TRUE,0.00324
PF00012585,,OFF00001002,C,20150226,2442000,M,3.00E-05,CHF,-0.66605,2441959.3,20150226,TRUE,20150302,E,FALSE,TRUE,0.0018
PF00012588,,OFF00001002,C,20150227,1.10E+07,M,3.00E-05,CHF,-0.66605,10999679.17,20150227,TRUE,20150306,E,TRUE,TRUE,0.0018
PF00012577,,OFF00001002,C,20150223,11121000,M,3.00E-05,CHF,-0.66605,11120675.64,20150223,TRUE,20150302,E,FALSE,TRUE,0.0018
